customer_id,customer_name,email,city,state,region,lat,lon,acquisition_date
CUST-0001,Raj Singh,customer1@email.com,Mumbai,Maharashtra,West,19.076,72.8777,2024-01-01
CUST-0002,Rohan Mehta,customer2@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-01
CUST-0003,Deepika Menon,customer3@email.com,Ahmedabad,Gujarat,West,23.0225,72.5714,2024-01-01
CUST-0004,Raj Das,customer4@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-01
CUST-0005,Karan Reddy,customer5@email.com,Mumbai,Maharashtra,West,19.076,72.8777,2024-01-01
CUST-0006,Suresh Mehta,customer6@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-02
CUST-0007,Sneha Nair,customer7@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-02
CUST-0008,Amit Verma,customer8@email.com,Lucknow,Uttar Pradesh,North,26.8467,80.9462,2024-01-02
CUST-0009,Priya Nair,customer9@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-02
CUST-0010,Meena Chopra,customer10@email.com,Ahmedabad,Gujarat,West,23.0225,72.5714,2024-01-03
CUST-0011,Ananya Patel,customer11@email.com,Bhopal,Madhya Pradesh,Central,23.2599,77.4126,2024-01-03
CUST-0012,Rahul Rao,customer12@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-04
CUST-0013,Meena Joshi,customer13@email.com,Bhopal,Madhya Pradesh,Central,23.2599,77.4126,2024-01-04
CUST-0014,Manish Mehta,customer14@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-04
CUST-0015,Kavita Malhotra,customer15@email.com,Nagpur,Maharashtra,West,21.1458,79.0882,2024-01-05
CUST-0016,Swati Kapoor,customer16@email.com,Mumbai,Maharashtra,West,19.076,72.8777,2024-01-06
CUST-0017,Rohan Chopra,customer17@email.com,Pune,Maharashtra,West,18.5204,73.8567,2024-01-07
CUST-0018,Karan Rao,customer18@email.com,Hyderabad,Telangana,South,17.385,78.4867,2024-01-07
CUST-0019,Divya Malhotra,customer19@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-07
CUST-0020,Amit Gupta,customer20@email.com,Kolkata,West Bengal,East,22.5726,88.3639,2024-01-08
CUST-0021,Karan Reddy,customer21@email.com,Pune,Maharashtra,West,18.5204,73.8567,2024-01-09
CUST-0022,Arjun Reddy,customer22@email.com,Mumbai,Maharashtra,West,19.076,72.8777,2024-01-09
CUST-0023,Neha Singh,customer23@email.com,Mumbai,Maharashtra,West,19.076,72.8777,2024-01-10
CUST-0024,Pooja Patel,customer24@email.com,Pune,Maharashtra,West,18.5204,73.8567,2024-01-10
CUST-0025,Arjun Das,customer25@email.com,Kolkata,West Bengal,East,22.5726,88.3639,2024-01-10
CUST-0026,Priya Singh,customer26@email.com,Nagpur,Maharashtra,West,21.1458,79.0882,2024-01-11
CUST-0027,Rohan Rao,customer27@email.com,Ahmedabad,Gujarat,West,23.0225,72.5714,2024-01-12
CUST-0028,Raj Rao,customer28@email.com,Patna,Bihar,East,25.5941,85.1376,2024-01-12
CUST-0029,Deepika Kapoor,customer29@email.com,Pune,Maharashtra,West,18.5204,73.8567,2024-01-13
CUST-0030,Amit Chopra,customer30@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-13
CUST-0031,Manish Singh,customer31@email.com,Mumbai,Maharashtra,West,19.076,72.8777,2024-01-13
CUST-0032,Neha Nair,customer32@email.com,Ahmedabad,Gujarat,West,23.0225,72.5714,2024-01-13
CUST-0033,Sneha Patel,customer33@email.com,Kolkata,West Bengal,East,22.5726,88.3639,2024-01-14
CUST-0034,Ananya Verma,customer34@email.com,Mumbai,Maharashtra,West,19.076,72.8777,2024-01-14
CUST-0035,Kavita Singh,customer35@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-14
CUST-0036,Neha Das,customer36@email.com,Patna,Bihar,East,25.5941,85.1376,2024-01-14
CUST-0037,Meena Patel,customer37@email.com,Hyderabad,Telangana,South,17.385,78.4867,2024-01-14
CUST-0038,Kavita Chopra,customer38@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-16
CUST-0039,Sneha Chopra,customer39@email.com,Hyderabad,Telangana,South,17.385,78.4867,2024-01-16
CUST-0040,Swati Kapoor,customer40@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-16
CUST-0041,Deepika Chopra,customer41@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-16
CUST-0042,Deepika Gupta,customer42@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-17
CUST-0043,Swati Menon,customer43@email.com,Mumbai,Maharashtra,West,19.076,72.8777,2024-01-17
CUST-0044,Neha Kapoor,customer44@email.com,Ahmedabad,Gujarat,West,23.0225,72.5714,2024-01-17
CUST-0045,Nikhil Joshi,customer45@email.com,Bangalore,Karnataka,South,12.9716,77.5946,2024-01-18
CUST-0046,Rohan Menon,customer46@email.com,Jaipur,Rajasthan,North,26.9124,75.7873,2024-01-18
CUST-0047,Rahul Joshi,customer47@email.com,Lucknow,Uttar Pradesh,North,26.8467,80.9462,2024-01-18
CUST-0048,Raj Joshi,customer48@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-18
CUST-0049,Rahul Rao,customer49@email.com,Kolkata,West Bengal,East,22.5726,88.3639,2024-01-19
CUST-0050,Deepika Nair,customer50@email.com,Hyderabad,Telangana,South,17.385,78.4867,2024-01-19
CUST-0051,Suresh Kumar,customer51@email.com,Bhopal,Madhya Pradesh,Central,23.2599,77.4126,2024-01-19
CUST-0052,Manish Nair,customer52@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-19
CUST-0053,Amit Kumar,customer53@email.com,Kolkata,West Bengal,East,22.5726,88.3639,2024-01-19
CUST-0054,Rahul Mehta,customer54@email.com,Chennai,Tamil Nadu,South,13.0827,80.2707,2024-01-20
CUST-0055,Vikram Das,customer55@email.com,Delhi,Delhi,North,28.7041,77.1025,2024-01-21
